[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.serviceFactory (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.originalCacheState (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.validate.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.validate.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.cache (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.eventEmitter (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.LoadSitesCommand.serviceFactory (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/database/DatabaseService.DatabaseService.instance (Property), defined in uptime-watcher/electron/services/database/DatabaseService.ts, does not have any documentation
[warning] electron/services/database/DatabaseService.DatabaseService.db (Property), defined in uptime-watcher/electron/services/database/DatabaseService.ts, does not have any documentation
[warning] electron/services/database/MonitorRepository.MonitorRepository.databaseService (Property), defined in uptime-watcher/electron/services/database/MonitorRepository.ts, does not have any documentation
[warning] electron/services/database/MonitorRepository.MonitorRepository.getAllMonitorIds.__type.id (Property), defined in uptime-watcher/electron/services/database/MonitorRepository.ts, does not have any documentation
[warning] electron/services/database/MonitorRepository.MonitorRepository.buildUpdateFieldsAndValues.__type.updateFields (Property), defined in uptime-watcher/electron/services/database/MonitorRepository.ts, does not have any documentation
[warning] electron/services/database/MonitorRepository.MonitorRepository.buildUpdateFieldsAndValues.__type.updateValues (Property), defined in uptime-watcher/electron/services/database/MonitorRepository.ts, does not have any documentation
[warning] electron/services/database/SettingsRepository.SettingsRepository.databaseService (Property), defined in uptime-watcher/electron/services/database/SettingsRepository.ts, does not have any documentation
[warning] electron/services/database/SiteRepository.SiteRepository.databaseService (Property), defined in uptime-watcher/electron/services/database/SiteRepository.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.databaseService (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.eventEmitter (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.repositories (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.repositories.__type.history (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.repositories.__type.monitor (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.repositories.__type.settings (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactoryDependencies.repositories.__type.site (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataBackupService.downloadDatabaseBackup (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataBackupService.downloadDatabaseBackup.__type.__type.buffer (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataBackupService.downloadDatabaseBackup.__type.__type.fileName (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataImportExportService.exportAllData (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataImportExportService.importDataFromJson (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataImportExportService.importDataFromJson.__type.__type.settings (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataImportExportService.importDataFromJson.__type.__type.sites (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.IDataImportExportService.persistImportedData (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.ISiteRepositoryService.getSitesFromDatabase (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactory.dependencies (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/factories/DatabaseServiceFactory.DatabaseServiceFactory.loggerAdapter (Property), defined in uptime-watcher/electron/services/factories/DatabaseServiceFactory.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.config (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.performSingleDnsCheck.__type.details (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.performSingleDnsCheck.__type.error (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.performSingleDnsCheck.__type.success (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.formatDnsResult.__type.details (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.formatDnsResult.__type.error (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/DnsMonitor.DnsMonitor.formatDnsResult.__type.success (Property), defined in uptime-watcher/electron/services/monitoring/DnsMonitor.ts, does not have any documentation
[warning] electron/services/monitoring/EnhancedMonitorChecker.EnhancedMonitorChecker.config (Property), defined in uptime-watcher/electron/services/monitoring/EnhancedMonitorChecker.ts, does not have any documentation
[warning] electron/services/monitoring/EnhancedMonitorChecker.EnhancedMonitorChecker.dnsMonitor (Property), defined in uptime-watcher/electron/services/monitoring/EnhancedMonitorChecker.ts, does not have any documentation
[warning] electron/services/monitoring/EnhancedMonitorChecker.EnhancedMonitorChecker.httpMonitor (Property), defined in uptime-watcher/electron/services/monitoring/EnhancedMonitorChecker.ts, does not have any documentation
